Typ gracza,Pieniądze na wstępie,Lekkomyślność,Rozrzutność,Minimalna oczekiwana ręka,Wynik_pieniężny_gra_1,Wynik_pieniężny_gra_2,Wynik_pieniężny_gra_3,Wynik_pieniężny_gra_4,Wynik_pieniężny_gra_5,Wynik_pieniężny_gra_6,Wynik_pieniężny_gra_7,Wynik_pieniężny_gra_8,Wynik_pieniężny_gra_9,Wynik_pieniężny_gra_10
AveragePlayer,500,0.5,0.1,Straight,275,173,23,23,23,23,23,0,0,0
AveragePlayer,500,0.5,0.1,Flush,400,64,64,14,14,14,0,0,0,0
AveragePlayer,500,0.5,0.1,Flush,350,350,350,300,250,200,150,100,50,0
AveragePlayer,500,0.5,0.1,Flush,450,106,56,56,6,6,6,6,6,6
AveragePlayer,500,0.5,0.1,Full house,378,353,303,253,203,153,103,103,53,53
AveragePlayer,500,0.5,0.1,Full house,350,250,100,50,50,25,25,0,0,0
AveragePlayer,500,0.5,0.1,Full house,450,400,74,24,24,24,24,0,0,0
AveragePlayer,500,0.5,0.1,Four-of-a-Kind,425,362,362,337,337,312,287,237,237,237
AveragePlayer,500,0.5,0.1,Four-of-a-Kind,450,394,244,194,80,30,30,0,0,0
AveragePlayer,500,0.5,0.1,Four-of-a-Kind,405,131,81,31,31,0,0,0,0,0
AveragePlayer,500,0.5,0.1,Straight flush,400,350,300,300,300,300,250,200,200,200
AveragePlayer,500,0.5,0.1,Straight flush,450,164,114,64,14,14,14,14,14,14
AveragePlayer,500,0.5,0.1,Straight flush,375,325,275,225,200,175,175,125,125,125
AveragePlayer,500,0.5,0.5,High card,125,75,25,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.5,High card,125,75,5,5,0,0,0,0,0,0
AveragePlayer,500,0.5,0.5,High card,1875,1900,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.5,One pair,65,15,15,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.5,One pair,126,76,26,26,0,0,0,0,0,0
AveragePlayer,500,0.5,0.5,One pair,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.5,Two pair,176,126,76,26,26,26,26,26,1,1
AveragePlayer,500,0.5,0.5,Two pair,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.5,Two pair,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.5,Three-of-a-Kind,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.5,Three-of-a-Kind,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.5,Three-of-a-Kind,200,130,80,10,10,10,0,0,0,0
AveragePlayer,500,0.5,0.5,Straight,151,101,31,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.5,Straight,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.5,Straight,125,75,5,5,5,5,0,0,0,0
AveragePlayer,500,0.5,0.5,Flush,355,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.5,Flush,200,150,100,30,30,30,5,5,0,0
AveragePlayer,500,0.5,0.5,Flush,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.5,Full house,300,250,150,50,0,0,0,0,0,0
AveragePlayer,500,0.5,0.5,Full house,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.5,Full house,318,220,170,120,50,25,0,0,0,0
AveragePlayer,500,0.5,0.5,Four-of-a-Kind,357,243,193,95,45,45,45,45,20,20
AveragePlayer,500,0.5,0.5,Four-of-a-Kind,375,325,244,194,144,94,44,44,0,0
AveragePlayer,500,0.5,0.5,Four-of-a-Kind,400,350,151,101,51,1,1,1,1,0
AveragePlayer,500,0.5,0.5,Straight flush,125,75,25,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.5,Straight flush,400,350,52,2,2,2,2,2,2,2
AveragePlayer,500,0.5,0.5,Straight flush,450,338,288,238,188,138,88,38,13,0
AveragePlayer,500,0.5,0.9,High card,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,High card,24,24,24,24,24,24,24,0,0,0
AveragePlayer,500,0.5,0.9,High card,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.5,0.9,One pair,50,0,0,0,0,0,0,0,0,0
